1,France,Armentières,Talisman,13
2,France,IvrysurSeine,Grim,22
3,France,Vannes,Kedzie,18
4,France,Rouen,Karstens,22
5,United States,Pittsburgh,Orin,5
6,France,Paris 07,Muir,37
7,Russia,Gryazovets,Bartillon,13
8,Canada,SaintRémi,Delladonna,25
9,Russia,Kholbon,Sherman,34
10,Russia,Rakhmanovo,Corben,13
11,United States,Detroit,Gateway,12
12,France,Castres,Buell,39
13,Brazil,Nortelândia,Anniversary,14
14,Japan,Yasugichō,Tony,20
15,Russia,Chamlykskaya,Blackbird,6
16,Sweden,Lycksele,Waubesa,29
17,Russia,Lakha Nëvre,Colorado,27
18,Russia,Mendeleyevo,Atwood,13
19,Brazil,Araçatuba,Waubesa,38
20,Japan,Iida,Riverside,14
21,Japan,Shimokizukuri,Oneill,29
22,Japan,Shiogama,Evergreen,9
23,Russia,Kizema,Heffernan,24
24,Russia,Bolgar,Heffernan,1
25,France,Paris 09,Bartelt,20
26,Brazil,Paranavaí,Coleman,13
27,Russia,Novorossiysk,Rigney,3
28,Japan,Kokubumatsuki,Manley,4
29,Brazil,Satuba,Hanover,19
30,Japan,Mombetsu,Loeprich,40
31,France,Lyon,Hanover,4
32,United States,Peoria,Continental,5
33,United States,Orange,Fulton,12
34,United Kingdom,Brampton,Spenser,19
35,Japan,Mikuni,5th,2
36,Russia,Kuznechikha,Lotheville,34
37,Slovenia,Hodoš,Portage,2
38,Czech Republic,Blažovice,Twin Pines,14
39,Russia,L’govskiy,Hazelcrest,1
40,France,Lunéville,Northfield,26
41,Ukraine,Verkhnya Rozhanka,Fairview,6
42,United States,Kansas City,Mccormick,37
43,Brazil,Alegre,Talisman,8
44,Russia,Novozavedennoye,Maple,36
45,Sweden,Eksjö,Blackbird,11
46,Slovenia,Lenart v Slov. Goricah,Oxford,6
47,Czech Republic,Černilov,Garrison,18
48,Russia,Rybinsk,Corscot,7
49,Ukraine,Novovorontsovka,Muir,13
50,Japan,Hamada,Haas,21
51,Brazil,Itabaiana,Barby,29
52,France,Paris 01,Golf,18
53,Ukraine,Lysyanka,Thierer,22
54,Japan,Usuki,Eastwood,8
55,Russia,Muslyumovo,Sundown,38
56,Ukraine,Vyshhorod,Park Meadow,20
57,Brazil,Caçapava do Sul,Northwestern,28
58,Russia,Murygino,Gerald,8
59,Brazil,Rancharia,Stone Corner,12
60,Russia,Skuratovskiy,Crescent Oaks,29
61,Ukraine,Skelivka,Debs,35
62,United States,Tampa,Del Mar,28
63,France,Colmar,8th,4
64,Russia,Temirgoyevskaya,Macpherson,1
65,Canada,Lacombe,Farwell,30
66,Russia,Sol’tsy,Gerald,10
67,Sweden,MunkaLjungby,Spenser,22
68,Hong Kong,Tai Po,Cottonwood,13
69,Russia,Ust’Dzheguta,School,15
70,Norway,Moss,Dryden,22
71,Russia,Pregradnoye,Eggendart,25
72,Sweden,Täby,1st,16
73,Czech Republic,Klobuky,Shasta,17
74,Ukraine,Kostryzhivka,Heath,6
75,Japan,Yorii,Scofield,12
76,Russia,Ivanteyevka,Stephen,12
77,France,Périgueux,Green,3
78,France,Mâcon,Pawling,24
79,Sweden,Örebro,Sommers,28
80,Canada,SainteThérèse,Ohio,6
81,Brazil,Extremoz,Sugar,15
82,Russia,Susuman,Reinke,14
83,Sweden,Eskilstuna,Buena Vista,17
84,France,Orsay,Straubel,15
85,United States,Anniston,Meadow Vale,38
86,France,AixenProvence,Talmadge,26
87,Norway,Molde,Elgar,3
88,Russia,Pospelikha,Daystar,15
89,Sweden,Sollefteå,Magdeline,26
90,Brazil,Vinhedo,Lindbergh,13
91,Sweden,Borlänge,Maywood,14
92,Russia,Tekstil’shchiki,Packers,12
93,Brazil,Nova Iguaçu,Pennsylvania,23
94,Russia,Zverevo,Pleasure,31
95,United States,Grand Forks,Manley,37
96,Canada,Parrsboro,Buell,24
97,Japan,Ōzu,Cordelia,10
98,Germany,Cottbus,Brown,7
99,Russia,Chernyakhovsk,Dovetail,5
100,Sweden,Huddinge,Portage,26
